Collecting initial RSSI for 60 seconds...
Starting DoS attack and measuring RSSI...
Ping: 94:52:44:87:83:be from AC:3E:B1:75:7C:031(data size 640) ...
640 bytes from 94:52:44:87:83:be id 0 time 178.80ms
640 bytes from 94:52:44:87:83:be id 1 time 43.99ms
640 bytes from 94:52:44:87:83:be id 2 time 40.06ms
640 bytes from 94:52:44:87:83:be id 3 time 39.96ms
640 bytes from 94:52:44:87:83:be id 4 time 39.78ms
640 bytes from 94:52:44:87:83:be id 5 time 39.96ms
640 bytes from 94:52:44:87:83:be id 6 time 40.02ms
640 bytes from 94:52:44:87:83:be id 7 time 27.97ms
640 bytes from 94:52:44:87:83:be id 8 time 48.07ms
640 bytes from 94:52:44:87:83:be id 9 time 35.81ms
640 bytes from 94:52:44:87:83:be id 10 time 44.25ms
640 bytes from 94:52:44:87:83:be id 11 time 43.95ms
640 bytes from 94:52:44:87:83:be id 12 time 44.09ms
640 bytes from 94:52:44:87:83:be id 13 time 31.82ms
640 bytes from 94:52:44:87:83:be id 14 time 32.12ms
640 bytes from 94:52:44:87:83:be id 15 time 51.86ms
640 bytes from 94:52:44:87:83:be id 16 time 36.13ms
640 bytes from 94:52:44:87:83:be id 17 time 51.87ms
640 bytes from 94:52:44:87:83:be id 18 time 44.12ms
640 bytes from 94:52:44:87:83:be id 19 time 47.87ms
640 bytes from 94:52:44:87:83:be id 20 time 48.06ms
640 bytes from 94:52:44:87:83:be id 21 time 39.92ms
640 bytes from 94:52:44:87:83:be id 22 time 52.05ms
640 bytes from 94:52:44:87:83:be id 23 time 48.04ms
640 bytes from 94:52:44:87:83:be id 24 time 39.96ms
640 bytes from 94:52:44:87:83:be id 25 time 48.01ms
640 bytes from 94:52:44:87:83:be id 26 time 43.93ms
640 bytes from 94:52:44:87:83:be id 27 time 47.96ms
640 bytes from 94:52:44:87:83:be id 28 time 44.06ms
640 bytes from 94:52:44:87:83:be id 29 time 44.02ms
640 bytes from 94:52:44:87:83:be id 30 time 40.00ms
640 bytes from 94:52:44:87:83:be id 31 time 43.96ms
640 bytes from 94:52:44:87:83:be id 32 time 62.42ms
640 bytes from 94:52:44:87:83:be id 33 time 33.23ms
640 bytes from 94:52:44:87:83:be id 34 time 43.99ms
640 bytes from 94:52:44:87:83:be id 35 time 48.22ms
640 bytes from 94:52:44:87:83:be id 36 time 40.17ms
640 bytes from 94:52:44:87:83:be id 37 time 47.74ms
640 bytes from 94:52:44:87:83:be id 38 time 40.15ms
640 bytes from 94:52:44:87:83:be id 39 time 71.95ms
640 bytes from 94:52:44:87:83:be id 40 time 39.92ms
640 bytes from 94:52:44:87:83:be id 41 time 51.97ms
640 bytes from 94:52:44:87:83:be id 42 time 40.11ms
640 bytes from 94:52:44:87:83:be id 43 time 39.94ms
640 bytes from 94:52:44:87:83:be id 44 time 44.00ms
640 bytes from 94:52:44:87:83:be id 45 time 40.01ms
640 bytes from 94:52:44:87:83:be id 46 time 48.01ms
640 bytes from 94:52:44:87:83:be id 47 time 40.00ms
640 bytes from 94:52:44:87:83:be id 48 time 47.93ms
640 bytes from 94:52:44:87:83:be id 49 time 40.05ms
640 bytes from 94:52:44:87:83:be id 50 time 39.97ms
640 bytes from 94:52:44:87:83:be id 51 time 48.00ms
640 bytes from 94:52:44:87:83:be id 52 time 39.98ms
640 bytes from 94:52:44:87:83:be id 53 time 35.87ms
640 bytes from 94:52:44:87:83:be id 54 time 48.12ms
640 bytes from 94:52:44:87:83:be id 0 time 47.88ms
640 bytes from 94:52:44:87:83:be id 1 time 39.97ms
640 bytes from 94:52:44:87:83:be id 2 time 48.11ms
640 bytes from 94:52:44:87:83:be id 3 time 35.99ms
640 bytes from 94:52:44:87:83:be id 4 time 47.95ms
640 bytes from 94:52:44:87:83:be id 5 time 39.99ms
640 bytes from 94:52:44:87:83:be id 6 time 51.84ms
640 bytes from 94:52:44:87:83:be id 7 time 47.93ms
640 bytes from 94:52:44:87:83:be id 8 time 43.91ms
640 bytes from 94:52:44:87:83:be id 9 time 43.98ms
640 bytes from 94:52:44:87:83:be id 10 time 40.11ms
640 bytes from 94:52:44:87:83:be id 11 time 52.07ms
640 bytes from 94:52:44:87:83:be id 12 time 40.06ms
640 bytes from 94:52:44:87:83:be id 13 time 52.05ms
640 bytes from 94:52:44:87:83:be id 14 time 43.95ms
640 bytes from 94:52:44:87:83:be id 15 time 52.03ms
640 bytes from 94:52:44:87:83:be id 16 time 44.01ms
640 bytes from 94:52:44:87:83:be id 17 time 39.96ms
640 bytes from 94:52:44:87:83:be id 18 time 47.95ms
640 bytes from 94:52:44:87:83:be id 19 time 36.04ms
640 bytes from 94:52:44:87:83:be id 20 time 43.97ms
640 bytes from 94:52:44:87:83:be id 21 time 39.93ms
640 bytes from 94:52:44:87:83:be id 22 time 50.61ms
640 bytes from 94:52:44:87:83:be id 23 time 49.28ms
640 bytes from 94:52:44:87:83:be id 24 time 44.05ms
640 bytes from 94:52:44:87:83:be id 25 time 47.96ms
640 bytes from 94:52:44:87:83:be id 26 time 44.02ms
640 bytes from 94:52:44:87:83:be id 27 time 51.99ms
640 bytes from 94:52:44:87:83:be id 28 time 40.01ms
640 bytes from 94:52:44:87:83:be id 29 time 47.90ms
640 bytes from 94:52:44:87:83:be id 30 time 44.05ms
640 bytes from 94:52:44:87:83:be id 31 time 43.97ms
640 bytes from 94:52:44:87:83:be id 32 time 40.02ms
640 bytes from 94:52:44:87:83:be id 33 time 51.81ms
640 bytes from 94:52:44:87:83:be id 34 time 39.86ms
640 bytes from 94:52:44:87:83:be id 35 time 40.00ms
640 bytes from 94:52:44:87:83:be id 36 time 47.95ms
640 bytes from 94:52:44:87:83:be id 37 time 48.10ms
640 bytes from 94:52:44:87:83:be id 38 time 31.88ms
640 bytes from 94:52:44:87:83:be id 39 time 48.27ms
640 bytes from 94:52:44:87:83:be id 40 time 47.98ms
640 bytes from 94:52:44:87:83:be id 41 time 48.02ms
640 bytes from 94:52:44:87:83:be id 42 time 40.03ms
640 bytes from 94:52:44:87:83:be id 43 time 47.97ms
640 bytes from 94:52:44:87:83:be id 44 time 32.00ms
640 bytes from 94:52:44:87:83:be id 45 time 35.96ms
640 bytes from 94:52:44:87:83:be id 46 time 48.04ms
640 bytes from 94:52:44:87:83:be id 47 time 31.84ms
640 bytes from 94:52:44:87:83:be id 48 time 39.97ms
640 bytes from 94:52:44:87:83:be id 49 time 48.13ms
640 bytes from 94:52:44:87:83:be id 50 time 47.99ms
640 bytes from 94:52:44:87:83:be id 51 time 55.93ms
640 bytes from 94:52:44:87:83:be id 52 time 43.99ms
640 bytes from 94:52:44:87:83:be id 53 time 48.06ms
640 bytes from 94:52:44:87:83:be id 54 time 55.90ms
640 bytes from 94:52:44:87:83:be id 0 time 35.98ms
640 bytes from 94:52:44:87:83:be id 1 time 47.96ms
640 bytes from 94:52:44:87:83:be id 2 time 48.06ms
640 bytes from 94:52:44:87:83:be id 3 time 39.85ms
