Collecting initial RSSI for 60 seconds...
Starting DoS attack and measuring RSSI...
Ping: 7C:B0:73:FE:D3:B2 from E8:48:B8:C8:20:00 (data size 640) ...
640 bytes from 7C:B0:73:FE:D3:B2 id 0 time 75.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 1 time 112.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 2 time 80.23ms
640 bytes from 7C:B0:73:FE:D3:B2 id 3 time 72.03ms
640 bytes from 7C:B0:73:FE:D3:B2 id 4 time 115.88ms
640 bytes from 7C:B0:73:FE:D3:B2 id 5 time 84.09ms
640 bytes from 7C:B0:73:FE:D3:B2 id 6 time 63.94ms
640 bytes from 7C:B0:73:FE:D3:B2 id 7 time 71.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 8 time 76.03ms
640 bytes from 7C:B0:73:FE:D3:B2 id 9 time 76.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 10 time 75.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 11 time 72.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 12 time 151.93ms
640 bytes from 7C:B0:73:FE:D3:B2 id 13 time 64.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 14 time 84.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 15 time 103.77ms
640 bytes from 7C:B0:73:FE:D3:B2 id 16 time 52.15ms
640 bytes from 7C:B0:73:FE:D3:B2 id 17 time 52.05ms
640 bytes from 7C:B0:73:FE:D3:B2 id 18 time 51.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 19 time 104.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 20 time 55.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 21 time 79.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 22 time 76.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 23 time 55.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 24 time 104.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 25 time 79.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 26 time 79.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 27 time 84.05ms
640 bytes from 7C:B0:73:FE:D3:B2 id 28 time 51.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 29 time 92.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 30 time 83.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 31 time 92.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 32 time 55.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 33 time 80.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 34 time 80.03ms
640 bytes from 7C:B0:73:FE:D3:B2 id 35 time 79.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 36 time 51.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 37 time 76.05ms
640 bytes from 7C:B0:73:FE:D3:B2 id 38 time 63.78ms
640 bytes from 7C:B0:73:FE:D3:B2 id 39 time 56.21ms
640 bytes from 7C:B0:73:FE:D3:B2 id 40 time 75.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 41 time 51.83ms
640 bytes from 7C:B0:73:FE:D3:B2 id 42 time 84.16ms
640 bytes from 7C:B0:73:FE:D3:B2 id 43 time 84.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 44 time 79.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 45 time 80.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 46 time 135.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 47 time 87.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 48 time 52.03ms
640 bytes from 7C:B0:73:FE:D3:B2 id 49 time 75.95ms
640 bytes from 7C:B0:73:FE:D3:B2 id 50 time 51.78ms
640 bytes from 7C:B0:73:FE:D3:B2 id 51 time 76.24ms
640 bytes from 7C:B0:73:FE:D3:B2 id 52 time 79.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 53 time 56.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 54 time 55.83ms
640 bytes from 7C:B0:73:FE:D3:B2 id 0 time 52.17ms
640 bytes from 7C:B0:73:FE:D3:B2 id 1 time 76.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 2 time 55.95ms
640 bytes from 7C:B0:73:FE:D3:B2 id 3 time 56.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 4 time 51.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 5 time 76.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 6 time 75.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 7 time 71.82ms
640 bytes from 7C:B0:73:FE:D3:B2 id 8 time 56.17ms
640 bytes from 7C:B0:73:FE:D3:B2 id 9 time 116.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 10 time 59.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 11 time 55.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 12 time 75.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 13 time 51.88ms
640 bytes from 7C:B0:73:FE:D3:B2 id 14 time 59.91ms
