Collecting initial RSSI for 60 seconds...
Starting DoS attack and measuring RSSI...
Ping: 00:FA:DE:38:CF:50 from B0:3C:DC:A0:26:CE (data size 640) ...
640 bytes from 00:FA:DE:38:CF:50 id 0 time 59.31ms
640 bytes from 00:FA:DE:38:CF:50 id 1 time 58.95ms
640 bytes from 00:FA:DE:38:CF:50 id 2 time 53.08ms
640 bytes from 00:FA:DE:38:CF:50 id 3 time 55.99ms
640 bytes from 00:FA:DE:38:CF:50 id 4 time 37.02ms
640 bytes from 00:FA:DE:38:CF:50 id 5 time 53.97ms
640 bytes from 00:FA:DE:38:CF:50 id 6 time 57.89ms
640 bytes from 00:FA:DE:38:CF:50 id 7 time 31.11ms
640 bytes from 00:FA:DE:38:CF:50 id 8 time 72.03ms
640 bytes from 00:FA:DE:38:CF:50 id 9 time 48.88ms
640 bytes from 00:FA:DE:38:CF:50 id 10 time 39.97ms
640 bytes from 00:FA:DE:38:CF:50 id 11 time 60.03ms
640 bytes from 00:FA:DE:38:CF:50 id 12 time 53.08ms
640 bytes from 00:FA:DE:38:CF:50 id 13 time 66.92ms
640 bytes from 00:FA:DE:38:CF:50 id 14 time 37.98ms
640 bytes from 00:FA:DE:38:CF:50 id 15 time 48.00ms
640 bytes from 00:FA:DE:38:CF:50 id 16 time 22.89ms
640 bytes from 00:FA:DE:38:CF:50 id 17 time 51.05ms
640 bytes from 00:FA:DE:38:CF:50 id 18 time 38.00ms
640 bytes from 00:FA:DE:38:CF:50 id 19 time 36.99ms
640 bytes from 00:FA:DE:38:CF:50 id 20 time 35.01ms
640 bytes from 00:FA:DE:38:CF:50 id 21 time 51.96ms
640 bytes from 00:FA:DE:38:CF:50 id 22 time 39.01ms
640 bytes from 00:FA:DE:38:CF:50 id 23 time 38.99ms
640 bytes from 00:FA:DE:38:CF:50 id 24 time 68.08ms
640 bytes from 00:FA:DE:38:CF:50 id 25 time 54.99ms
640 bytes from 00:FA:DE:38:CF:50 id 26 time 41.04ms
640 bytes from 00:FA:DE:38:CF:50 id 27 time 49.86ms
640 bytes from 00:FA:DE:38:CF:50 id 28 time 50.08ms
640 bytes from 00:FA:DE:38:CF:50 id 29 time 49.00ms
640 bytes from 00:FA:DE:38:CF:50 id 30 time 35.90ms
640 bytes from 00:FA:DE:38:CF:50 id 31 time 49.08ms
640 bytes from 00:FA:DE:38:CF:50 id 32 time 38.99ms
640 bytes from 00:FA:DE:38:CF:50 id 33 time 49.01ms
640 bytes from 00:FA:DE:38:CF:50 id 34 time 38.88ms
640 bytes from 00:FA:DE:38:CF:50 id 35 time 50.08ms
640 bytes from 00:FA:DE:38:CF:50 id 36 time 58.01ms
640 bytes from 00:FA:DE:38:CF:50 id 37 time 42.98ms
640 bytes from 00:FA:DE:38:CF:50 id 38 time 34.96ms
640 bytes from 00:FA:DE:38:CF:50 id 39 time 48.90ms
640 bytes from 00:FA:DE:38:CF:50 id 40 time 25.99ms
640 bytes from 00:FA:DE:38:CF:50 id 41 time 63.01ms
640 bytes from 00:FA:DE:38:CF:50 id 42 time 37.00ms
640 bytes from 00:FA:DE:38:CF:50 id 43 time 52.00ms
640 bytes from 00:FA:DE:38:CF:50 id 44 time 38.00ms
640 bytes from 00:FA:DE:38:CF:50 id 45 time 50.06ms
640 bytes from 00:FA:DE:38:CF:50 id 46 time 38.01ms
640 bytes from 00:FA:DE:38:CF:50 id 47 time 41.87ms
640 bytes from 00:FA:DE:38:CF:50 id 48 time 45.02ms
640 bytes from 00:FA:DE:38:CF:50 id 49 time 43.95ms
640 bytes from 00:FA:DE:38:CF:50 id 50 time 49.94ms
640 bytes from 00:FA:DE:38:CF:50 id 51 time 39.08ms
640 bytes from 00:FA:DE:38:CF:50 id 52 time 39.07ms
640 bytes from 00:FA:DE:38:CF:50 id 53 time 47.91ms
640 bytes from 00:FA:DE:38:CF:50 id 54 time 23.12ms
640 bytes from 00:FA:DE:38:CF:50 id 0 time 53.77ms
640 bytes from 00:FA:DE:38:CF:50 id 1 time 40.09ms
640 bytes from 00:FA:DE:38:CF:50 id 2 time 37.02ms
640 bytes from 00:FA:DE:38:CF:50 id 3 time 52.90ms
640 bytes from 00:FA:DE:38:CF:50 id 4 time 40.10ms
640 bytes from 00:FA:DE:38:CF:50 id 5 time 38.09ms
640 bytes from 00:FA:DE:38:CF:50 id 6 time 48.97ms
640 bytes from 00:FA:DE:38:CF:50 id 7 time 38.98ms
640 bytes from 00:FA:DE:38:CF:50 id 8 time 53.97ms
640 bytes from 00:FA:DE:38:CF:50 id 9 time 52.86ms
640 bytes from 00:FA:DE:38:CF:50 id 10 time 39.04ms
640 bytes from 00:FA:DE:38:CF:50 id 11 time 42.01ms
640 bytes from 00:FA:DE:38:CF:50 id 12 time 52.01ms
640 bytes from 00:FA:DE:38:CF:50 id 13 time 59.98ms
640 bytes from 00:FA:DE:38:CF:50 id 14 time 44.99ms
640 bytes from 00:FA:DE:38:CF:50 id 15 time 49.98ms
640 bytes from 00:FA:DE:38:CF:50 id 16 time 33.98ms
640 bytes from 00:FA:DE:38:CF:50 id 17 time 57.99ms
640 bytes from 00:FA:DE:38:CF:50 id 18 time 32.05ms
640 bytes from 00:FA:DE:38:CF:50 id 19 time 49.98ms
640 bytes from 00:FA:DE:38:CF:50 id 20 time 49.98ms
640 bytes from 00:FA:DE:38:CF:50 id 21 time 41.03ms
640 bytes from 00:FA:DE:38:CF:50 id 22 time 50.93ms
640 bytes from 00:FA:DE:38:CF:50 id 23 time 40.02ms
640 bytes from 00:FA:DE:38:CF:50 id 24 time 47.88ms
640 bytes from 00:FA:DE:38:CF:50 id 25 time 101.11ms
640 bytes from 00:FA:DE:38:CF:50 id 26 time 71.06ms
640 bytes from 00:FA:DE:38:CF:50 id 27 time 49.90ms
640 bytes from 00:FA:DE:38:CF:50 id 28 time 50.96ms
640 bytes from 00:FA:DE:38:CF:50 id 29 time 66.15ms
640 bytes from 00:FA:DE:38:CF:50 id 30 time 45.99ms
